All-India	2.86	3.53	4.29	5.11	7.08	8.95	12.74	18.22	26.22	36.98	52.74	70.89	78.66	73.32
Andaman & Nicobar	6.34	8.45	9.04	10.15	11.56	12.63	17.97	17.39	18.36	21.24	29.96	NA	NA	NA
Andhra Pradesh	3.13	4.10	4.93	5.66	7.85	9.48	13.45	19.62	28.25	39.59	57.23	74.35	80.87	77.19
Assam	1.06	1.33	1.67	1.94	2.13	2.79	5.67	9.74	14.74	20.65	29.99	38.98	46.61	46.51
Bihar	0.65	1.15	1.08	1.32	1.67	2.36	5.34	7.32	12.64	22.18	37.96	42.32	48.90	45.72
Chhattisgarh	NA	NA	1.25	1.47	1.63	1.80	2.09	3.24	4.38	5.15	5.74	NA	NA	NA
Gujarat	4.26	5.37	6.37	7.77	10.14	12.73	16.98	24.14	33.63	45.16	58.46	81.9	91.13	87.23
Haryana	3.36	4.25	5.06	6.21	8.38	10.83	14.47	23.11	30.39	43.75	59.70	82.59	89.42	76.44
Himachal Pradesh	4.32	5.31	7.48	8.50	10.14	13.12	18.78	28.57	41.16	55.50	79.35	111.11	120.68	105.39
Jammu & Kashmir	1.31	1.72	2.15	2.48	3.01	5.09	12.18	16.08	21.84	32.76	49.91	NA	NA	NA
Jharkhand	NA	NA	1.39	1.68	2.00	2.30	2.99	3.43	3.60	4.11	5.54	NA	NA	NA
Karnataka	3.76	4.70	5.58	6.67	9.46	12.19	17.06	25.05	34.53	45.21	67.81	87.76	97.22	91.24
Kerala	5.60	7.51	9.51	11.33	14.87	18.77	25.54	33.54	45.34	58.48	80.36	100.01	106.61	96.09
Madhya Pradesh	1.54	1.81	2.49	3.02	3.99	5.21	7.12	12.22	20.29	30.08	45.23	48.88	53.81	53.55
Maharashtra	5.40	6.60	5.14	6.08	8.00	10.01	13.10	18.78	27.42	37.90	50.30	68.97	77.19	73.97
North East-I	1.56	1.92	2.41	3.00	3.35	4.33	8.11	16.56	27.67	44.49	68.90	56.5	65.72	67.78
North East-II	NA	NA	NA	2.35	2.71	3.66	5.21	7.41	9.14	9.21	11.91	NA	NA	NA
Orissa	1.21	1.52	1.88	2.29	2.95	3.96	7.57	9.51	15.00	23.30	39.30	56.37	65.84	60.21
Punjab	5.67	6.95	9.15	11.76	17.33	21.94	27.61	37.05	47.89	58.25	75.44	104.09	113.13	103.00
Rajasthan	2.11	2.57	3.02	3.47	4.50	6.12	9.65	15.49	23.74	37.15	52.76	65.35	72.96	70.85
Tamil Nadu	4.52	5.91	5.37	6.22	8.54	11.37	14.70	22.55	35.09	50.46	74.31	97.73	116.61	108.17
Uttarakhand	NA	NA	3.64	4.25	5.10	5.74	7.46	9.50	10.61	11.59	13.90	NA	NA	NA
Uttar Pradesh-(E&W)	1.33	1.66	1.86	2.15	2.96	4.06	6.87	10.77	16.19	24.91	38.54	52.97	60.93	56.83
West Bengal	2.09	2.67	1.52	1.85	2.18	3.00	5.53	8.63	14.36	22.51	34.81	53.43	61.52	54.18
Kolkata	NA	NA	11.77	13.47	18.92	23.79	33.70	45.09	64.22	89.68	120.19	163.76	172.22	145.86
Chennai	NA	NA	19.72	22.97	38.81	46.76	61.08	75.46	103.90	127.38	149.42	163.41	NA	NA
Delhi	15.40	17.66	22.11	27.38	41.79	50.94	65.40	86.89	110.05	140.18	172.49	225.26	238.59	221.64
Mumbai	NA	NA	20.27	24.22	36.08	44.27	56.73	64.99	83.48	110.52	143.71	180.45	183.52	152.44
